question,document_id,answer_1,answer_2,answer_3
when is the last episode of season 8 of the walking dead,The Walking Dead (season 8),"The eighth season of The Walking Dead has received mostly positive reviews from critics . On Rotten Tomatoes , the season holds a score of 73 % with an average rating of 6.9 out of 10 , based on 13 reviews , and an average episode score of 69 % . The site 's critical consensus reads : `` The Walking Dead 's eighth season energizes its characters with some much - needed angst and action , though it 's still occasionally choppy and lacking forward - moving plot progression . ''",,
in greek mythology who was the goddess of spring growth,Persephone,"In Greek mythology , Persephone ( / pərˈsɛfəni / ; Greek : Περσεφόνη ) , also called Kore ( / ˈkɔːriː / ; `` the maiden '' ) , is the daughter of Zeus and Demeter and is the queen of the underworld . Homer describes her as the formidable , venerable majestic princess of the underworld , who carries into effect the curses of men upon the souls of the dead . Persephone was married to Hades , the god of the underworld . The myth of her abduction represents her function as the personification of vegetation , which shoots forth in spring and withdraws into the earth after harvest ; hence , she is also associated with spring as well as the fertility of vegetation . Similar myths appear in the Orient , in the cults of male gods like Attis , Adonis , and Osiris , and in Minoan Crete .",,
benefits of colonial life for single celled organisms,Colony (biology),"Colonial organisms are clonal colonies composed of many physically connected , interdependent individuals . Colonial organisms can be unicellular , as in the alga Volvox ( a coenobium ) , or multicellular , as in the phylum Bryozoa . The former type may have been the first step toward multicellular organisms . Individuals within a multicellular colonial organism may be called ramets , modules , or zooids . Structural and functional variation ( polymorphism ) , when present , designates ramet responsibilities such as feeding , reproduction , and defense . To that end , being physically connected allows the colonial organism to distribute nutrients and energy obtained by feeding zooids throughout the colony . An example of colonial organisms that is well known are hydrozoans , like Portuguese man o ' wars .",,
how many season of the man in the high castle,The Man in the High Castle (TV series),"The Man in the High Castle Genre Alternate history Drama Dystopia Thriller Science fiction Created by Frank Spotnitz Based on The Man in the High Castle by Philip K. Dick Starring Alexa Davalos Rupert Evans Luke Kleintank DJ Qualls Joel de la Fuente Cary - Hiroyuki Tagawa Rufus Sewell Brennan Brown Callum Keith Rennie Bella Heathcote Opening theme `` Edelweiss '' , performed by Jeanette Olsson Composer ( s ) Henry Jackman Dominic Lewis Country of origin United States Original language ( s ) English No. of seasons No. of episodes 20 ( list of episodes ) Production Executive producer ( s ) Ridley Scott Frank Spotnitz Christian Baute Isa Dick Hackett Stewart Mackinnon Christopher Tricarico Producer ( s ) Michael Cedar Jean Higgins Jordan Sheehan David W. Zucker Location ( s ) Seattle , Washington Monroe , Washington Vancouver , British Columbia Cinematography James Hawkinson Gonzalo Amat Editor ( s ) Kathrynn Himoff Running time 48 -- 60 minutes Production company ( s ) Amazon Studios Sco",,
who was the first ministry head of state in nigeria,List of heads of state of Nigeria,1 Governors - General 2 First Republic ( 1963 -- 1966 ) 3 Military rule ( 1966 -- 1979 ) 4 Second Republic ( 1979 -- 1983 ) 5 Military rule ( 1983 -- 1993 ) 6 Third Republic ( 1993 ) 7 Military rule ( 1993 -- 1999 ) 8 Fourth Nigerian Republic 9 Living former heads of state 10 References 11 External links Monarchs ( 1960 -- 1963 ) ( edit ) The succession to the throne was the same as the succession to the British throne,,
how many nominations does game of thrones have,List of awards and nominations received by Game of Thrones,"Game of Thrones received many nominations , with awards recognizing various aspects of the series such as directing , writing , cast , visual effects , or overall quality",,
what is the name of the most important jewish text,Judaism,"Halakha , the rabbinic Jewish way of life , then , is based on a combined reading of the Torah , and the oral tradition -- the Mishnah , the halakhic Midrash , the Talmud and its commentaries . The Halakha has developed slowly , through a precedent - based system . The literature of questions to rabbis , and their considered answers , is referred to as responsa ( in Hebrew , Sheelot U-Teshuvot . ) Over time , as practices develop , codes of Jewish law are written that are based on the responsa ; the most important code , the Shulchan Aruch , largely determines Orthodox religious practice today .",,
what is the name of spain's most famous soccer team,Football in Spain,"In a survey of sports habits of the Spanish population made in 2010 , football was the second most popular recreational sport practised by the population ( 17.9 % ) . A total of 75.9 % of people said they had ever bought tickets to attend a football match . In addition , a total of 67.3 % of the people said that they saw all , almost all , many , or some of the football matches broadcast on television . In another survey made in 2014 , the practice of football decreased to 14 % of the population , being overtaken by other sports , such as running , cycling and swimming for recreation . However , in this survey football was still the sport that interests the majority of Spain 's people ( 48 % ) . A total of 67 % of the population said they were fans or had sympathy for a particular club . In addition , 74.9 % said they watched , whenever possible , the matches broadcast on television regarding their favorite teams ; and 42.4 % had , flags , badges or objects of their favorite teams . Da",,
when was the first robot used in surgery,Robot-assisted surgery,"The first robot to assist in surgery was the Arthrobot , which was developed and used for the first time in Vancouver in 1983 . Intimately involved were biomedical engineer , Dr. James McEwen , Geof Auchinleck , a UBC engineering physics grad , and Dr. Brian Day as well as a team of engineering students . The robot was used in an orthopaedic surgical procedure on 12 March 1984 , at the UBC Hospital in Vancouver . Over 60 arthroscopic surgical procedures were performed in the first 12 months , and a 1985 National Geographic video on industrial robots , The Robotics Revolution , featured the device . Other related robotic devices developed at the same time included a surgical scrub nurse robot , which handed operative instruments on voice command , and a medical laboratory robotic arm . A YouTube video entitled Arthrobot illustrates some of these in operation .",,
who are the actors in fast and furious,List of The Fast and the Furious characters,Character Portrayed by Film The Fast and the Furious ( 2001 ) The Turbo Charged Prelude for 2 Fast 2 Furious ( 2003 ) 2 Fast 2 Furious ( 2003 ) The Fast and the Furious : Tokyo Drift ( 2006 ) Los Bandoleros ( 2009 ) Fast & Furious ( 2009 ) Fast Five ( 2011 ) Fast & Furious 6 ( 2013 ) Furious 7 ( 2015 ) The Fate of the Furious ( 2017 ) Principal characters Dominic Toretto Vin Diesel Main Archive Cameo Main Brian O'Conner Paul Walker Main Main Letty Ortiz Michelle Rodriguez Main Main Photo Main Mia Toretto Jordana Brewster Main Main Roman Pearce Tyrese Gibson Main Main Tej Parker Ludacris Main Main Sean Boswell Lucas Black Main Archive Cameo Han Lue Sung Kang Main Archive Gisele Yashar Gal Gadot Main Archive Luke Hobbs Dwayne Johnson Main Primary supporting characters Vince Matt Schulze Main Main Archive Jesse Chad Lindberg Main Leon Johnny Strong Main Monica Fuentes Eva Mendes Main Cameo Suki Devon Aoki Main Archive Neela Nathalie Kelley Main Archive Twinkie Bow Wow Main Archive Tego Le,,
